sub_code,sub_name
9CONS2,CONS TECH
9COTS1,CONS TECH
9COTS2,CONS TECH
9COTS3,CONS TECH
9COTS4,CONS TECH
9CR8FD,CREATIVE FOOD FOR LIFE
9DAN,DANCE
9DANS,DANCE
9DANS1,DANCE
9DANS2,DANCE
9DANS3,DANCE
9DANS4,DANCE
9DDNA,DIGITAL DESIGN A
9DDNB,DIGITAL DESIGN B
9DESS1,DESIGN
9DESS2,DESIGN
9DESS3,DESIGN
9DESS4,DESIGN
9DGP,DIGITAL GRAPHICS
9DIMS1,DIGITAL MUSIC
9DIMS2,DIGITAL MUSIC
9DIMS3,DIGITAL MUSIC
9DIMS4,DIGITAL MUSIC
9DRA,DRAMA
9DRAS,DRAMA
9DRAS1,DRAMA
9DRAS2,DRAMA
9DRAS3,DRAMA
9DRAS4,DRAMA
9DTE,DIGITAL TECHNOLOGY
9DTEA,DIGITAL TECHNOLOGY A
9DTEB,DIGITAL TECHNOLOGY B
9EALA,ENGLISH AS AN ADDITIONAL LANG A
9EALB,ENGLISH AS AN ADDITIONAL LANG B
9ENG,ENGLISH
9ENG1,ENGLISH
9ENGL,ENGLISH
9ENGO,ENGLISH
9ENGP,ENGLISH
9ENGTEC,ENGINEERING TECH
9ENGX,ENGLISH
9ENGY,ENGLISH
9ENGZ,ENGLISH
9ESL,ENGLISH AS A SECOND LANGUAGE PHASE 4/5
9ESL1,ENGLISH AS A SECOND LANGUAGE
9ESLA,ENGLISH AS A SECOND LANGUAGE A
9ESLB,ENGLISH AS A SECOND LANGUAGE B
9ESLEA,ENGLISH AS A SECOND LANGUAGE A
9ESLEB,ENGLISH AS A SECOND LANGUAGE B
9FOD,FOOD AND NUTRITION
9GER1,GERMAN
9GERH,GERMAN HALF
9GEX1,GERMAN EXTENSION
9GRK1,GREEK
9GRKH,GREEK HALF
9HEC,FOOD
9HEC1,HOME EC
9HEC2,HOME EC
9HECSI,SPECIAL INTEREST HOME EC
9HPE,HEALTH AND PHYSICAL EDUCATION
9HPE1,HEALTH AND PHYSICAL EDUCATION
9HPE2,PHYSICAL EDUCATION
9HUM,HUMANITIES
9HUM2,HUMANITIES 2
9HUME,HUMANITIES
9HUML,HUMANITIES
9HUMO,HUMANITIES
9HUMP,HUMANITIES
9HUMX,HUMANITIES
9HUMY,HUMANITIES
9HUMZ,HUMANITIES
9ICT,COMPUTING
9ITA,ITALIAN
9ITA1,ITALIAN
9ITAF,ITALIAN FULL
9ITAH,ITALIAN HALF
9ITAPH,ITALIAN PHASE 1
